AssociationCount	SEMMEDDBSubject	SEMMEDBSubjectName	SEMMEDDBPredicate	SEMMEDDBObject	SEMMEDDBObjectName	BiolinkSubject	BiolinkPredicate	BiolinkObject	ComponentMissing	ValidEdge?
1	bsoj	Body Space or Junction	PART_OF	tisu	Tissue		biolink:part_of	biolink:GrossAnatomicalStructure	bsoj	False
1	carb	unmappped	PART_OF	bacs	Biologically Active Substance		biolink:part_of	biolink:SmallMolecule	carb	False
1	carb	unmappped	PART_OF	gngm	Gene or Genome		biolink:part_of	biolink:GenomicEntity	carb	False
1	carb	unmappped	PART_OF	virs	Virus		biolink:part_of		virs	False
1	celc	Cell Component	PART_OF	bird	Bird	biolink:CellularComponent	biolink:part_of		bird	False
1	celc	Cell Component	PART_OF	emod	Experimental Model of Disease	biolink:CellularComponent	biolink:part_of	biolink:BiologicalEntity	None	True
1	celc	Cell Component	PART_OF	fndg	Finding	biolink:CellularComponent	biolink:part_of	biolink:DiseaseOrPhenotypicFeature	None	True
1	celc	Cell Component	PART_OF	lipd	unmappped	biolink:CellularComponent	biolink:part_of		lipd	False
1	cell	Cell	PART_OF	idcn	Idea or Concept	biolink:Cell	biolink:part_of	biolink:InformationContentEntity	None	True
1	cgab	Congenital Abnormality	PART_OF	arch	Archaeon	biolink:Disease	biolink:part_of		arch	False
1	cgab	Congenital Abnormality	PART_OF	dsyn	Disease or Syndrome	biolink:Disease	biolink:part_of	biolink:Disease	None	True
1	cgab	Congenital Abnormality	PART_OF	grup	Group	biolink:Disease	biolink:part_of	biolink:Agent	None	True
1	chvs	Chemical Viewed Structurally	PART_OF	bpoc	Body Part, Organ, or Organ Component		biolink:part_of	biolink:GrossAnatomicalStructure	chvs	False
1	chvs	Chemical Viewed Structurally	PART_OF	humn	Human		biolink:part_of		humn	False
1	comd	Cell or Molecular Dysfunction	PART_OF	neop	Neoplastic Process	biolink:Disease	biolink:part_of	biolink:Disease	None	True
1	dsyn	Disease or Syndrome	PART_OF	anim	Animal	biolink:Disease	biolink:part_of		anim	False
1	dsyn	Disease or Syndrome	PART_OF	plnt	Plant	biolink:Disease	biolink:part_of		plnt	False
1	eico	unmappped	PART_OF	anst	Anatomical Structure		biolink:part_of	biolink:AnatomicalEntity	eico	False
1	eico	unmappped	PART_OF	famg	Family Group		biolink:part_of	biolink:Cohort	eico	False
1	eico	unmappped	PART_OF	popg	Population Group		biolink:part_of	biolink:PopulationOfIndividualOrganisms	eico	False
1	eico	unmappped	PART_OF	vtbt	Vertebrate		biolink:part_of		vtbt	False
1	elii	Element, Ion, or Isotope	PART_OF	alga	unmappped	biolink:SmallMolecule	biolink:part_of		alga	False
1	elii	Element, Ion, or Isotope	PART_OF	cgab	Congenital Abnormality	biolink:SmallMolecule	biolink:part_of	biolink:Disease	None	True
1	elii	Element, Ion, or Isotope	PART_OF	plnt	Plant	biolink:SmallMolecule	biolink:part_of		plnt	False
1	emst	Embryonic Structure	PART_OF	plnt	Plant	biolink:GrossAnatomicalStructure	biolink:part_of		plnt	False
1	emst	Embryonic Structure	PART_OF	tisu	Tissue	biolink:GrossAnatomicalStructure	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
1	enzy	Enzyme	PART_OF	grup	Group	biolink:Protein	biolink:part_of	biolink:Agent	None	True
1	enzy	Enzyme	PART_OF	popg	Population Group	biolink:Protein	biolink:part_of	biolink:PopulationOfIndividualOrganisms	None	True
1	ffas	Fully Formed Anatomical Structure	PART_OF	aggp	Age Group		biolink:part_of	biolink:Cohort	ffas	False
1	ffas	Fully Formed Anatomical Structure	PART_OF	fngs	Fungus		biolink:part_of		fngs	False
1	fndg	Finding	PART_OF	mamm	Mammal	biolink:DiseaseOrPhenotypicFeature	biolink:part_of		mamm	False
1	food	Food	PART_OF	anim	Animal	biolink:Food	biolink:part_of		anim	False
1	food	Food	PART_OF	celc	Cell Component	biolink:Food	biolink:part_of	biolink:CellularComponent	None	True
1	food	Food	PART_OF	humn	Human	biolink:Food	biolink:part_of		humn	False
1	gngm	Gene or Genome	PART_OF	emod	Experimental Model of Disease	biolink:GenomicEntity	biolink:part_of	biolink:BiologicalEntity	None	True
1	gngm	Gene or Genome	PART_OF	inpr	Intellectual Product	biolink:GenomicEntity	biolink:part_of	biolink:Publication	None	True
1	gngm	Gene or Genome	PART_OF	lipd	unmappped	biolink:GenomicEntity	biolink:part_of		lipd	False
1	hops	Hazardous or Poisonous Substance	PART_OF	anim	Animal	biolink:SmallMolecule	biolink:part_of		anim	False
1	hops	Hazardous or Poisonous Substance	PART_OF	euka	Eukaryote	biolink:SmallMolecule	biolink:part_of		euka	False
1	horm	Hormone	PART_OF	arch	Archaeon	biolink:SmallMolecule	biolink:part_of		arch	False
1	horm	Hormone	PART_OF	bird	Bird	biolink:SmallMolecule	biolink:part_of		bird	False
1	horm	Hormone	PART_OF	dsyn	Disease or Syndrome	biolink:SmallMolecule	biolink:part_of	biolink:Disease	None	True
1	horm	Hormone	PART_OF	invt	unmappped	biolink:SmallMolecule	biolink:part_of		invt	False
1	imft	Immunologic Factor	PART_OF	alga	unmappped	biolink:BiologicalEntity	biolink:part_of		alga	False
1	imft	Immunologic Factor	PART_OF	fish	Fish	biolink:BiologicalEntity	biolink:part_of		fish	False
1	imft	Immunologic Factor	PART_OF	imft	Immunologic Factor	biolink:BiologicalEntity	biolink:part_of	biolink:BiologicalEntity	None	True
1	imft	Immunologic Factor	PART_OF	rich	unmappped	biolink:BiologicalEntity	biolink:part_of		rich	False
1	inch	Inorganic Chemical	PART_OF	anab	Anatomical Abnormality	biolink:SmallMolecule	biolink:part_of	biolink:Disease	None	True
1	inch	Inorganic Chemical	PART_OF	emst	Embryonic Structure	biolink:SmallMolecule	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
1	inch	Inorganic Chemical	PART_OF	famg	Family Group	biolink:SmallMolecule	biolink:part_of	biolink:Cohort	None	True
1	inch	Inorganic Chemical	PART_OF	orgm	Organism	biolink:SmallMolecule	biolink:part_of		orgm	False
1	irda	Indicator, Reagent, or Diagnostic Aid	PART_OF	anim	Animal		biolink:part_of		anim	False
1	irda	Indicator, Reagent, or Diagnostic Aid	PART_OF	emst	Embryonic Structure		biolink:part_of	biolink:GrossAnatomicalStructure	irda	False
1	irda	Indicator, Reagent, or Diagnostic Aid	PART_OF	humn	Human		biolink:part_of		humn	False
1	irda	Indicator, Reagent, or Diagnostic Aid	PART_OF	neop	Neoplastic Process		biolink:part_of	biolink:Disease	irda	False
1	irda	Indicator, Reagent, or Diagnostic Aid	PART_OF	orgm	Organism		biolink:part_of		orgm	False
1	lbpr	Laboratory Procedure	PART_OF	tisu	Tissue	biolink:Procedure	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
1	lipd	unmappped	PART_OF	famg	Family Group		biolink:part_of	biolink:Cohort	lipd	False
1	lipd	unmappped	PART_OF	gngm	Gene or Genome		biolink:part_of	biolink:GenomicEntity	lipd	False
1	lipd	unmappped	PART_OF	invt	unmappped		biolink:part_of		invt	False
1	lipd	unmappped	PART_OF	prog	Professional or Occupational Group		biolink:part_of	biolink:Cohort	lipd	False
1	lipd	unmappped	PART_OF	rept	Reptile		biolink:part_of		rept	False
1	mnob	Manufactured Object	PART_OF	bpoc	Body Part, Organ, or Organ Component	biolink:PhysicalEntity	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
1	mosq	Molecular Sequence	PART_OF	humn	Human	biolink:MolecularEntity	biolink:part_of		humn	False
1	neop	Neoplastic Process	PART_OF	inpr	Intellectual Product	biolink:Disease	biolink:part_of	biolink:Publication	None	True
1	nnon	Nucleic Acid, Nucleoside, or Nucleotide	PART_OF	arch	Archaeon	biolink:NucleicAcidEntity	biolink:part_of		arch	False
1	nnon	Nucleic Acid, Nucleoside, or Nucleotide	PART_OF	fish	Fish	biolink:NucleicAcidEntity	biolink:part_of		fish	False
1	nnon	Nucleic Acid, Nucleoside, or Nucleotide	PART_OF	popg	Population Group	biolink:NucleicAcidEntity	biolink:part_of	biolink:PopulationOfIndividualOrganisms	None	True
1	nnon	Nucleic Acid, Nucleoside, or Nucleotide	PART_OF	rept	Reptile	biolink:NucleicAcidEntity	biolink:part_of		rept	False
1	nsba	unmappped	PART_OF	aggp	Age Group		biolink:part_of	biolink:Cohort	nsba	False
1	nsba	unmappped	PART_OF	fish	Fish		biolink:part_of		fish	False
1	nusq	Nucleotide Sequence	PART_OF	amph	Amphibian	biolink:NucleicAcidEntity	biolink:part_of		amph	False
1	nusq	Nucleotide Sequence	PART_OF	bacs	Biologically Active Substance	biolink:NucleicAcidEntity	biolink:part_of	biolink:SmallMolecule	None	True
1	nusq	Nucleotide Sequence	PART_OF	ffas	Fully Formed Anatomical Structure	biolink:NucleicAcidEntity	biolink:part_of		ffas	False
1	nusq	Nucleotide Sequence	PART_OF	fish	Fish	biolink:NucleicAcidEntity	biolink:part_of		fish	False
1	nusq	Nucleotide Sequence	PART_OF	idcn	Idea or Concept	biolink:NucleicAcidEntity	biolink:part_of	biolink:InformationContentEntity	None	True
1	nusq	Nucleotide Sequence	PART_OF	neop	Neoplastic Process	biolink:NucleicAcidEntity	biolink:part_of	biolink:Disease	None	True
1	nusq	Nucleotide Sequence	PART_OF	rept	Reptile	biolink:NucleicAcidEntity	biolink:part_of		rept	False
1	nusq	Nucleotide Sequence	PART_OF	rich	unmappped	biolink:NucleicAcidEntity	biolink:part_of		rich	False
1	opco	unmappped	PART_OF	bpoc	Body Part, Organ, or Organ Component		biolink:part_of	biolink:GrossAnatomicalStructure	opco	False
1	opco	unmappped	PART_OF	humn	Human		biolink:part_of		humn	False
1	opco	unmappped	PART_OF	orgm	Organism		biolink:part_of		orgm	False
1	orch	Organic Chemical	PART_OF	alga	unmappped	biolink:SmallMolecule	biolink:part_of		alga	False
1	orch	Organic Chemical	PART_OF	arch	Archaeon	biolink:SmallMolecule	biolink:part_of		arch	False
1	orch	Organic Chemical	PART_OF	bacs	Biologically Active Substance	biolink:SmallMolecule	biolink:part_of	biolink:SmallMolecule	None	True
1	orch	Organic Chemical	PART_OF	invt	unmappped	biolink:SmallMolecule	biolink:part_of		invt	False
1	orch	Organic Chemical	PART_OF	vtbt	Vertebrate	biolink:SmallMolecule	biolink:part_of		vtbt	False
1	patf	Pathologic Function	PART_OF	mamm	Mammal	biolink:PathologicalProcess	biolink:part_of		mamm	False
1	patf	Pathologic Function	PART_OF	plnt	Plant	biolink:PathologicalProcess	biolink:part_of		plnt	False
1	patf	Pathologic Function	PART_OF	virs	Virus	biolink:PathologicalProcess	biolink:part_of		virs	False
1	phsu	Pharmacologic Substance	PART_OF	arch	Archaeon	biolink:Drug	biolink:part_of		arch	False
1	phsu	Pharmacologic Substance	PART_OF	phsu	Pharmacologic Substance	biolink:Drug	biolink:part_of	biolink:Drug	None	True
1	phsu	Pharmacologic Substance	PART_OF	podg	Patient or Disabled Group	biolink:Drug	biolink:part_of	biolink:Cohort	None	True
1	phsu	Pharmacologic Substance	PART_OF	rich	unmappped	biolink:Drug	biolink:part_of		rich	False
1	phsu	Pharmacologic Substance	PART_OF	vtbt	Vertebrate	biolink:Drug	biolink:part_of		vtbt	False
1	rcpt	Receptor	PART_OF	blor	Body Location or Region	biolink:Protein	biolink:part_of		blor	False
1	rcpt	Receptor	PART_OF	neop	Neoplastic Process	biolink:Protein	biolink:part_of	biolink:Disease	None	True
1	rcpt	Receptor	PART_OF	nnon	Nucleic Acid, Nucleoside, or Nucleotide	biolink:Protein	biolink:part_of	biolink:NucleicAcidEntity	None	True
1	strd	unmappped	PART_OF	fish	Fish		biolink:part_of		fish	False
1	strd	unmappped	PART_OF	grup	Group		biolink:part_of	biolink:Agent	strd	False
1	strd	unmappped	PART_OF	plnt	Plant		biolink:part_of		plnt	False
1	strd	unmappped	PART_OF	podg	Patient or Disabled Group		biolink:part_of	biolink:Cohort	strd	False
1	tisu	Tissue	PART_OF	anab	Anatomical Abnormality	biolink:GrossAnatomicalStructure	biolink:part_of	biolink:Disease	None	True
1	tisu	Tissue	PART_OF	bdsu	Body Substance	biolink:GrossAnatomicalStructure	biolink:part_of		bdsu	False
1	tisu	Tissue	PART_OF	emod	Experimental Model of Disease	biolink:GrossAnatomicalStructure	biolink:part_of	biolink:BiologicalEntity	None	True
1	topp	Therapeutic or Preventive Procedure	PART_OF	bact	Bacterium	biolink:Procedure	biolink:part_of		bact	False
1	vita	Vitamin	PART_OF	humn	Human	biolink:SmallMolecule	biolink:part_of		humn	False
1	acab	Acquired Abnormality	PRECEDES	dsyn	Disease or Syndrome	biolink:Disease	biolink:precedes	biolink:Disease	None	False
1	acab	Acquired Abnormality	PRECEDES	patf	Pathologic Function	biolink:Disease	biolink:precedes	biolink:PathologicalProcess	None	False
1	anab	Anatomical Abnormality	PRECEDES	anab	Anatomical Abnormality	biolink:Disease	biolink:precedes	biolink:Disease	None	False
1	anab	Anatomical Abnormality	PRECEDES	neop	Neoplastic Process	biolink:Disease	biolink:precedes	biolink:Disease	None	False
1	bacs	Biologically Active Substance	PRECEDES	dsyn	Disease or Syndrome	biolink:SmallMolecule	biolink:precedes	biolink:Disease	None	False
1	carb	unmappped	PRECEDES	resa	Research Activity		biolink:precedes	biolink:Activity	carb	False
1	celf	Cell Function	PRECEDES	moft	Molecular Function	biolink:PhysiologicalProcess	biolink:precedes	biolink:MolecularActivity	None	True
1	chvf	Chemical Viewed Functionally	PRECEDES	diap	Diagnostic Procedure		biolink:precedes	biolink:Procedure	chvf	False
1	clnd	Clinical Drug	PRECEDES	acab	Acquired Abnormality	biolink:Drug	biolink:precedes	biolink:Disease	None	False
1	diap	Diagnostic Procedure	PRECEDES	edac	Educational Activity	biolink:Procedure	biolink:precedes	biolink:Activity	None	True
1	diap	Diagnostic Procedure	PRECEDES	enzy	Enzyme	biolink:Procedure	biolink:precedes	biolink:Protein	None	False
1	diap	Diagnostic Procedure	PRECEDES	opco	unmappped	biolink:Procedure	biolink:precedes		opco	False
1	diap	Diagnostic Procedure	PRECEDES	resa	Research Activity	biolink:Procedure	biolink:precedes	biolink:Activity	None	True
1	dsyn	Disease or Syndrome	PRECEDES	socb	Social Behavior	biolink:Disease	biolink:precedes	biolink:Behavior	None	False
1	eico	unmappped	PRECEDES	qnco	Quantitative Concept		biolink:precedes	biolink:InformationContentEntity	eico	False
1	fndg	Finding	PRECEDES	mobd	Mental or Behavioral Dysfunction	biolink:DiseaseOrPhenotypicFeature	biolink:precedes	biolink:Disease	None	False
1	ftcn	Functional Concept	PRECEDES	topp	Therapeutic or Preventive Procedure	biolink:InformationContentEntity	biolink:precedes	biolink:Procedure	None	False
1	genf	Genetic Function	PRECEDES	clna	Clinical Attribute		biolink:precedes	biolink:ClinicalAttribute	genf	False
1	genf	Genetic Function	PRECEDES	mbrt	Molecular Biology Research Technique		biolink:precedes	biolink:Procedure	genf	False
1	genf	Genetic Function	PRECEDES	menp	Mental Process		biolink:precedes	biolink:Behavior	genf	False
1	genf	Genetic Function	PRECEDES	moft	Molecular Function		biolink:precedes	biolink:MolecularActivity	genf	False
1	inbe	Individual Behavior	PRECEDES	mobd	Mental or Behavioral Dysfunction	biolink:Behavior	biolink:precedes	biolink:Disease	None	False
1	inch	Inorganic Chemical	PRECEDES	ortf	Organ or Tissue Function	biolink:SmallMolecule	biolink:precedes	biolink:PhysiologicalProcess	None	False
1	inpo	Injury or Poisoning	PRECEDES	comd	Cell or Molecular Dysfunction	biolink:PathologicalProcess	biolink:precedes	biolink:Disease	None	False
1	inpo	Injury or Poisoning	PRECEDES	mobd	Mental or Behavioral Dysfunction	biolink:PathologicalProcess	biolink:precedes	biolink:Disease	None	False
1	inpo	Injury or Poisoning	PRECEDES	neop	Neoplastic Process	biolink:PathologicalProcess	biolink:precedes	biolink:Disease	None	False
1	inpo	Injury or Poisoning	PRECEDES	orgf	Organism Function	biolink:PathologicalProcess	biolink:precedes	biolink:PhysiologicalProcess	None	True
1	inpr	Intellectual Product	PRECEDES	hlca	Health Care Activity	biolink:Publication	biolink:precedes	biolink:Activity	None	False
1	lbpr	Laboratory Procedure	PRECEDES	topp	Therapeutic or Preventive Procedure	biolink:Procedure	biolink:precedes	biolink:Procedure	None	True
1	medd	Medical Device	PRECEDES	acab	Acquired Abnormality	biolink:Device	biolink:precedes	biolink:Disease	None	False
1	mobd	Mental or Behavioral Dysfunction	PRECEDES	fndg	Finding	biolink:Disease	biolink:precedes	biolink:DiseaseOrPhenotypicFeature	None	False
1	neop	Neoplastic Process	PRECEDES	acab	Acquired Abnormality	biolink:Disease	biolink:precedes	biolink:Disease	None	False
1	neop	Neoplastic Process	PRECEDES	anab	Anatomical Abnormality	biolink:Disease	biolink:precedes	biolink:Disease	None	False
1	neop	Neoplastic Process	PRECEDES	phsf	Physiologic Function	biolink:Disease	biolink:precedes	biolink:PhysiologicalProcess	None	False
1	orch	Organic Chemical	PRECEDES	ortf	Organ or Tissue Function	biolink:SmallMolecule	biolink:precedes	biolink:PhysiologicalProcess	None	False
1	orgf	Organism Function	PRECEDES	diap	Diagnostic Procedure	biolink:PhysiologicalProcess	biolink:precedes	biolink:Procedure	None	True
1	orgf	Organism Function	PRECEDES	lbtr	Laboratory or Test Result	biolink:PhysiologicalProcess	biolink:precedes	biolink:Phenomenon	None	True
1	orgf	Organism Function	PRECEDES	tmco	Temporal Concept	biolink:PhysiologicalProcess	biolink:precedes	biolink:InformationContentEntity	None	False
1	ortf	Organ or Tissue Function	PRECEDES	hlca	Health Care Activity	biolink:PhysiologicalProcess	biolink:precedes	biolink:Activity	None	True
1	ortf	Organ or Tissue Function	PRECEDES	tmco	Temporal Concept	biolink:PhysiologicalProcess	biolink:precedes	biolink:InformationContentEntity	None	False
1	patf	Pathologic Function	PRECEDES	celf	Cell Function	biolink:PathologicalProcess	biolink:precedes	biolink:PhysiologicalProcess	None	True
1	patf	Pathologic Function	PRECEDES	phsf	Physiologic Function	biolink:PathologicalProcess	biolink:precedes	biolink:PhysiologicalProcess	None	True
1	phsf	Physiologic Function	PRECEDES	menp	Mental Process	biolink:PhysiologicalProcess	biolink:precedes	biolink:Behavior	None	True
1	phsf	Physiologic Function	PRECEDES	moft	Molecular Function	biolink:PhysiologicalProcess	biolink:precedes	biolink:MolecularActivity	None	True
1	phsf	Physiologic Function	PRECEDES	orga	Organism Attribute	biolink:PhysiologicalProcess	biolink:precedes	biolink:OrganismAttribute	None	False
1	resa	Research Activity	PRECEDES	diap	Diagnostic Procedure	biolink:Activity	biolink:precedes	biolink:Procedure	None	True
1	sosy	Sign or Symptom	PRECEDES	celf	Cell Function	biolink:PhenotypicFeature	biolink:precedes	biolink:PhysiologicalProcess	None	False
1	strd	unmappped	PRECEDES	diap	Diagnostic Procedure		biolink:precedes	biolink:Procedure	strd	False
1	topp	Therapeutic or Preventive Procedure	PRECEDES	anab	Anatomical Abnormality	biolink:Procedure	biolink:precedes	biolink:Disease	None	False
1	topp	Therapeutic or Preventive Procedure	PRECEDES	chvs	Chemical Viewed Structurally	biolink:Procedure	biolink:precedes		chvs	False
1	topp	Therapeutic or Preventive Procedure	PRECEDES	hlca	Health Care Activity	biolink:Procedure	biolink:precedes	biolink:Activity	None	True
1	topp	Therapeutic or Preventive Procedure	PRECEDES	inpo	Injury or Poisoning	biolink:Procedure	biolink:precedes	biolink:PathologicalProcess	None	True
1	topp	Therapeutic or Preventive Procedure	PRECEDES	neop	Neoplastic Process	biolink:Procedure	biolink:precedes	biolink:Disease	None	False
1	anab	Anatomical Abnormality	PREDISPOSES	anab	Anatomical Abnormality	biolink:Disease	biolink:predisposes	biolink:Disease	None	True
1	anab	Anatomical Abnormality	PREDISPOSES	fndg	Finding	biolink:Disease	biolink:predisposes	biolink:DiseaseOrPhenotypicFeature	None	True
1	bacs	Biologically Active Substance	PREDISPOSES	cgab	Congenital Abnormality	biolink:SmallMolecule	biolink:predisposes	biolink:Disease	None	True
1	carb	unmappped	PREDISPOSES	fndg	Finding		biolink:predisposes	biolink:DiseaseOrPhenotypicFeature	carb	False
1	celf	Cell Function	PREDISPOSES	dsyn	Disease or Syndrome	biolink:PhysiologicalProcess	biolink:predisposes	biolink:Disease	None	True
1	chem	Chemical	PREDISPOSES	dsyn	Disease or Syndrome	biolink:ChemicalEntity	biolink:predisposes	biolink:Disease	None	True
1	chvf	Chemical Viewed Functionally	PREDISPOSES	patf	Pathologic Function		biolink:predisposes	biolink:PathologicalProcess	chvf	False
1	chvs	Chemical Viewed Structurally	PREDISPOSES	dsyn	Disease or Syndrome		biolink:predisposes	biolink:Disease	chvs	False
1	chvs	Chemical Viewed Structurally	PREDISPOSES	inpo	Injury or Poisoning		biolink:predisposes	biolink:PathologicalProcess	chvs	False
1	clna	Clinical Attribute	PREDISPOSES	inbe	Individual Behavior	biolink:ClinicalAttribute	biolink:predisposes	biolink:Behavior	None	True
1	clnd	Clinical Drug	PREDISPOSES	dsyn	Disease or Syndrome	biolink:Drug	biolink:predisposes	biolink:Disease	None	True
1	comd	Cell or Molecular Dysfunction	PREDISPOSES	fndg	Finding	biolink:Disease	biolink:predisposes	biolink:DiseaseOrPhenotypicFeature	None	True
1	dora	Daily or Recreational Activity	PREDISPOSES	acab	Acquired Abnormality	biolink:Activity	biolink:predisposes	biolink:Disease	None	True
1	dora	Daily or Recreational Activity	PREDISPOSES	fndg	Finding	biolink:Activity	biolink:predisposes	biolink:DiseaseOrPhenotypicFeature	None	True
1	dsyn	Disease or Syndrome	PREDISPOSES	ortf	Organ or Tissue Function	biolink:Disease	biolink:predisposes	biolink:PhysiologicalProcess	None	True
1	edac	Educational Activity	PREDISPOSES	dsyn	Disease or Syndrome	biolink:Activity	biolink:predisposes	biolink:Disease	None	True
1	fndg	Finding	PREDISPOSES	comd	Cell or Molecular Dysfunction	biolink:DiseaseOrPhenotypicFeature	biolink:predisposes	biolink:Disease	None	True
1	fndg	Finding	PREDISPOSES	socb	Social Behavior	biolink:DiseaseOrPhenotypicFeature	biolink:predisposes	biolink:Behavior	None	True
1	food	Food	PREDISPOSES	comd	Cell or Molecular Dysfunction	biolink:Food	biolink:predisposes	biolink:Disease	None	True
1	food	Food	PREDISPOSES	inpo	Injury or Poisoning	biolink:Food	biolink:predisposes	biolink:PathologicalProcess	None	True
1	gngm	Gene or Genome	PREDISPOSES	anab	Anatomical Abnormality	biolink:GenomicEntity	biolink:predisposes	biolink:Disease	None	True
1	hops	Hazardous or Poisonous Substance	PREDISPOSES	cgab	Congenital Abnormality	biolink:SmallMolecule	biolink:predisposes	biolink:Disease	None	True
1	horm	Hormone	PREDISPOSES	fndg	Finding	biolink:SmallMolecule	biolink:predisposes	biolink:DiseaseOrPhenotypicFeature	None	True
1	imft	Immunologic Factor	PREDISPOSES	cgab	Congenital Abnormality	biolink:BiologicalEntity	biolink:predisposes	biolink:Disease	None	True
1	inbe	Individual Behavior	PREDISPOSES	acab	Acquired Abnormality	biolink:Behavior	biolink:predisposes	biolink:Disease	None	True
1	inch	Inorganic Chemical	PREDISPOSES	cgab	Congenital Abnormality	biolink:SmallMolecule	biolink:predisposes	biolink:Disease	None	True
1	irda	Indicator, Reagent, or Diagnostic Aid	PREDISPOSES	mobd	Mental or Behavioral Dysfunction		biolink:predisposes	biolink:Disease	irda	False
1	lbtr	Laboratory or Test Result	PREDISPOSES	fndg	Finding	biolink:Phenomenon	biolink:predisposes	biolink:DiseaseOrPhenotypicFeature	None	True
1	lbtr	Laboratory or Test Result	PREDISPOSES	patf	Pathologic Function	biolink:Phenomenon	biolink:predisposes	biolink:PathologicalProcess	None	True
1	lipd	unmappped	PREDISPOSES	fndg	Finding		biolink:predisposes	biolink:DiseaseOrPhenotypicFeature	lipd	False
1	medd	Medical Device	PREDISPOSES	sosy	Sign or Symptom	biolink:Device	biolink:predisposes	biolink:PhenotypicFeature	None	True
1	menp	Mental Process	PREDISPOSES	socb	Social Behavior	biolink:Behavior	biolink:predisposes	biolink:Behavior	None	True
1	mnob	Manufactured Object	PREDISPOSES	dsyn	Disease or Syndrome	biolink:PhysicalEntity	biolink:predisposes	biolink:Disease	None	True
1	neop	Neoplastic Process	PREDISPOSES	ortf	Organ or Tissue Function	biolink:Disease	biolink:predisposes	biolink:PhysiologicalProcess	None	True
1	nsba	unmappped	PREDISPOSES	fndg	Finding		biolink:predisposes	biolink:DiseaseOrPhenotypicFeature	nsba	False
1	orga	Organism Attribute	PREDISPOSES	acab	Acquired Abnormality	biolink:OrganismAttribute	biolink:predisposes	biolink:Disease	None	True
1	orga	Organism Attribute	PREDISPOSES	cgab	Congenital Abnormality	biolink:OrganismAttribute	biolink:predisposes	biolink:Disease	None	True
1	orgf	Organism Function	PREDISPOSES	dsyn	Disease or Syndrome	biolink:PhysiologicalProcess	biolink:predisposes	biolink:Disease	None	True
1	resa	Research Activity	PREDISPOSES	patf	Pathologic Function	biolink:Activity	biolink:predisposes	biolink:PathologicalProcess	None	True
1	sosy	Sign or Symptom	PREDISPOSES	cgab	Congenital Abnormality	biolink:PhenotypicFeature	biolink:predisposes	biolink:Disease	None	True
1	topp	Therapeutic or Preventive Procedure	PREDISPOSES	comd	Cell or Molecular Dysfunction	biolink:Procedure	biolink:predisposes	biolink:Disease	None	True
1	vita	Vitamin	PREDISPOSES	comd	Cell or Molecular Dysfunction	biolink:SmallMolecule	biolink:predisposes	biolink:Disease	None	True
1	vita	Vitamin	PREDISPOSES	patf	Pathologic Function	biolink:SmallMolecule	biolink:predisposes	biolink:PathologicalProcess	None	True
1	vita	Vitamin	PREDISPOSES	sosy	Sign or Symptom	biolink:SmallMolecule	biolink:predisposes	biolink:PhenotypicFeature	None	True
1	gngm	Gene or Genome	PREP	neop	Neoplastic Process	biolink:GenomicEntity		biolink:Disease	PREP	False
1	ortf	Organ or Tissue Function	PREP	anim	Animal	biolink:PhysiologicalProcess			PREP	False
1	aapp	Amino Acid, Peptide, or Protein	PREVENTS	orgf	Organism Function	biolink:Polypeptide	biolink:prevents	biolink:PhysiologicalProcess	None	True
1	antb	Antibiotic	PREVENTS	virs	Virus	biolink:Drug	biolink:prevents		virs	False
1	bacs	Biologically Active Substance	PREVENTS	emod	Experimental Model of Disease	biolink:SmallMolecule	biolink:prevents	biolink:BiologicalEntity	None	True
1	bodm	Biomedical or Dental Material	PREVENTS	cgab	Congenital Abnormality	biolink:Device	biolink:prevents	biolink:Disease	None	True
1	bodm	Biomedical or Dental Material	PREVENTS	neop	Neoplastic Process	biolink:Device	biolink:prevents	biolink:Disease	None	True
1	chem	Chemical	PREVENTS	dsyn	Disease or Syndrome	biolink:ChemicalEntity	biolink:prevents	biolink:Disease	None	True
1	chvf	Chemical Viewed Functionally	PREVENTS	comd	Cell or Molecular Dysfunction		biolink:prevents	biolink:Disease	chvf	False
1	chvf	Chemical Viewed Functionally	PREVENTS	mobd	Mental or Behavioral Dysfunction		biolink:prevents	biolink:Disease	chvf	False
1	chvf	Chemical Viewed Functionally	PREVENTS	virs	Virus		biolink:prevents		virs	False
1	diap	Diagnostic Procedure	PREVENTS	inpo	Injury or Poisoning	biolink:Procedure	biolink:prevents	biolink:PathologicalProcess	None	True
1	dora	Daily or Recreational Activity	PREVENTS	comd	Cell or Molecular Dysfunction	biolink:Activity	biolink:prevents	biolink:Disease	None	True
1	edac	Educational Activity	PREVENTS	patf	Pathologic Function	biolink:Activity	biolink:prevents	biolink:PathologicalProcess	None	True
1	eico	unmappped	PREVENTS	cgab	Congenital Abnormality		biolink:prevents	biolink:Disease	eico	False
1	elii	Element, Ion, or Isotope	PREVENTS	acab	Acquired Abnormality	biolink:SmallMolecule	biolink:prevents	biolink:Disease	None	True
1	elii	Element, Ion, or Isotope	PREVENTS	anab	Anatomical Abnormality	biolink:SmallMolecule	biolink:prevents	biolink:Disease	None	True
